iter	Passed	Remaining
285	17975	44874
286	18022	44774
287	18074	44685
288	18127	44596
289	18188	44531
290	18241	44443
291	18294	44356
292	18354	44288
293	18410	44210
294	18462	44121
295	18513	44032
296	18579	43977
297	18637	43903
298	18698	43837
299	18756	43764
300	18814	43692
301	18866	43606
302	18922	43527
303	18973	43440
304	19029	43362
305	19078	43269
306	19133	43190
307	19190	43116
308	19256	43061
309	19327	43018
310	19385	42946
311	19442	42874
312	19496	42792
313	19542	42694
314	19594	42610
315	19656	42548
316	19726	42501
317	19777	42416
318	19833	42341
319	19880	42246
320	19936	42170
321	19983	42076
322	20031	41984
323	20088	41912
324	20149	41849
325	20202	41769
326	20263	41704
327	20323	41638
328	20383	41572
329	20440	41500
330	20509	41452
331	20568	41384
332	20625	41312
333	20699	41274
334	20767	41225
335	20832	41169
336	20892	41103
337	20968	41069
338	21041	41028
339	21093	40945
340	21143	40861
341	21197	40783
342	21258	40719
343	21314	40645
344	21361	40555
345	21412	40473
346	21461	40386
347	21515	40311
348	21567	40230
349	21618	40149
350	21670	40069
351	21721	39987
352	21779	39918
353	21838	39852
354	21891	39774
355	21948	39705
356	22004	39632
357	22057	39555
358	22109	39477
359	22163	39402
360	22221	39333
361	22274	39256
362	22326	39179
363	22385	39113
364	22432	39025
365	22491	38961
366	22548	38891
367	22602	38817
368	22654	38740
369	22711	38671
370	22764	38594
371	22822	38527
372	22877	38456
373	22934	38388
374	22998	38330
375	23050	38254
376	23097	38169
377	23151	38095
378	23202	38018
379	23253	37939
380	23309	37870
381	23359	37791
382	23419	37727
383	23476	37660
384	23535	37595
385	23586	37518
386	23638	37442
387	23693	37371
388	23744	37295
389	23794	37217
390	23849	37146
391	23903	37074
392	23962	37010
393	24016	36939
394	24076	36877
395	24136	36814
396	24198	36755
397	24253	36685
398	24314	36624
399	24375	36563
400	24425	36485
401	24486	36425
402	24545	36362
403	24599	36290
404	24664	36236
405	24717	36163
406	24782	36107
407	24836	36037
408	24887	35962
409	24954	35910
410	25014	35848
411	25082	35797
412	25140	35731
413	25204	35675
414	25265	35615
415	25325	35552
416	25386	35493
417	25444	35427
418	25507	35369
419	25571	35313
420	25633	35253
421	25694	35193
422	25756	35134
423	25812	35065
424	25862	34989
425	25916	34920
426	25975	34856
427	26029	34787
428	26085	34720
429	26143	34655
430	26192	34578
431	26263	34531
432	26325	34472
433	26380	34404
434	26431	34331
435	26481	34256
436	26538	34190
437	26592	34121
438	26642	34046
439	26692	33972
440	26747	33904
441	26797	33830
442	26846	33755
443	26900	33686
444	26954	33617
445	27008	33548
446	27053	33468
447	27106	33398
448	27160	33330
449	27217	33265
450	27270	33196
451	27319	33122
452	27368	33047
453	27424	32981
454	27479	32914
455	27535	32848
456	27588	32780
457	27643	32713
458	27698	32646
459	27751	32577
460	27804	32509
461	27861	32444
462	27921	32384
463	27979	32320
464	28040	32262
465	28104	32206
466	28177	32159
467	28237	32099
468	28292	32032
469	28349	31968
470	28408	31906
471	28475	31853
472	28533	31791
473	28588	31724
474	28653	31670
475	28710	31605
476	28779	31555
477	28843	31498
478	28909	31444
479	28961	31374
480	29020	31313
481	29074	31246
482	29154	31207
483	29218	31150
484	29270	31081
485	29326	31015
486	29379	30948
487	29445	30893
488	29493	30820
489	29540	30745
490	29602	30688
491	29655	30619
492	29706	30550
493	29753	30476
494	29809	30412
495	29862	30344
496	29916	30277
497	29971	30212
498	30020	30141
499	30073	30073
500	30127	30007
501	30181	29941
502	30230	29870
503	30281	29800
504	30340	29739
505	30395	29674
506	30459	29618
507	30514	29553
508	30573	29492
509	30661	29459
510	30716	29393
511	30775	29333
512	30829	29266
513	30886	29204
514	30944	29142
515	30997	29074
516	31054	29012
517	31101	28939
518	31159	28878
519	31207	28806
520	31259	28739
521	31320	28680
522	31373	28614
523	31424	28545
524	31476	28478
525	31530	28413
526	31578	28343
527	31639	28283
528	31692	28218
529	31766	28170
530	31830	28114
531	31889	28053
532	31942	27987
533	32001	27926
534	32048	27855
535	32100	27788
536	32152	27721
537	32211	27660
538	32271	27601
539	32317	27529
540	32367	27461
541	32419	27395
542	32479	27335
543	32529	27267
544	32582	27201
545	32641	27141
546	32693	27075
547	32740	27004
548	32791	26938
549	32844	26872
550	32893	26804
551	32949	26741
552	33002	26676
553	33053	26609
554	33104	26542
555	33161	26481
556	33221	26421
557	33276	26358
558	33331	26295
559	33387	26233
560	33436	26164
561	33487	26098
562	33538	26032
563	33591	25967
564	33640	25900
565	33693	25835
566	33758	25780
567	33804	25710
568	33857	25646
569	33910	25581
570	33968	25521
571	34027	25460
572	34082	25398
573	34136	25335
574	34188	25269
575	34238	25203
576	34293	25140
577	34348	25077
578	34402	25014
579	34455	24950
580	34510	24888
581	34561	24822
582	34611	24756
583	34658	24688
584	34717	24628
585	34774	24567
586	34824	24501
587	34874	24436
588	34925	24370
589	34985	24311
590	35036	24247
591	35086	24181
592	35137	24116
593	35187	24050
594	35237	23985
595	35282	23916
596	35332	23850
597	35385	23787
598	35439	23725
599	35492	23661
600	35551	23602
601	35600	23536
602	35654	23473
603	35704	23409
604	35755	23344
605	35808	23281
606	35861	23218
607	35918	23158
608	35983	23102
609	36038	23040
610	36091	22978
611	36150	22919
612	36213	22862
613	36277	22806
614	36332	22744
615	36390	22684
616	36454	22628
617	36509	22567
618	36566	22507
619	36624	22447
620	36682	22387
621	36746	22331
622	36802	22270
623	36855	22207
624	36901	22141
625	36954	22078
626	37006	22014
627	37054	21949
628	37106	21886
629	37155	21821
630	37218	21764
631	37276	21705
632	37336	21646
633	37392	21586
634	37455	21529
635	37508	21467
636	37561	21404
637	37615	21343
638	37671	21282
639	37723	21219
640	37785	21162
641	37845	21104
642	37909	21047
643	37962	20985
644	38020	20926
645	38076	20865
646	38132	20805
647	38181	20740
648	38227	20674
649	38286	20615
650	38343	20555
651	38404	20498
652	38460	20437
653	38520	20379
654	38577	20319
655	38624	20254
656	38678	20192
657	38737	20134
658	38798	20076
659	38855	20016
660	38906	19953
661	38963	19893
662	39019	19833
663	39075	19773
664	39131	19712
665	39185	19651
666	39243	19592
667	39296	19530
668	39353	19470
669	39401	19406
670	39461	19348
671	39526	19292
672	39586	19234
673	39645	19175
674	39696	19113
675	39760	19056
676	39814	18995
677	39865	18933
678	39929	18876
679	39989	18818
680	40045	18758
681	40101	18698
682	40155	18637
683	40210	18576
684	40262	18514
685	40318	18454
686	40375	18395
687	40433	18336
688	40490	18276
689	40540	18213
690	40596	18153
691	40650	18093
692	40707	18033
693	40759	17971
694	40809	17909
695	40867	17850
696	40925	17791
697	40980	17730
698	41032	17669
699	41083	17607
700	41138	17546
701	41191	17485
702	41247	17426
703	41301	17365
704	41351	17303
705	41402	17241
706	41458	17181
707	41519	17123
708	41567	17061
709	41618	16999
710	41683	16943
711	41733	16881
712	41781	16818
713	41831	16756
714	41880	16693
715	41940	16635
716	41989	16573
717	42042	16512
718	42097	16452
719	42150	16392
720	42213	16335
721	42267	16274
722	42314	16211
723	42367	16151
724	42425	16092
725	42475	16030
726	42522	15967
727	42582	15909
728	42642	15852
729	42692	15790
730	42736	15726
731	42786	15664
732	42842	15605
733	42891	15543
734	42947	15484
735	43004	15425
736	43053	15363
737	43106	15303
738	43156	15242
739	43208	15181
740	43257	15119
741	43313	15060
742	43367	15000
743	43426	14942
744	43475	14880
745	43535	14822
746	43593	14764
747	43642	14703
748	43698	14643
749	43761	14587
750	43814	14527
751	43869	14467
752	43929	14409
753	43983	14350
754	44039	14290
755	44090	14230
756	44147	14171
757	44205	14113
758	44255	14051
759	44310	13992
760	44365	13933
761	44421	13874
762	44464	13811
763	44518	13751
764	44579	13694
765	44635	13635
766	44685	13574
767	44738	13514
768	44796	13456
769	44857	13398
770	44907	13338
771	44956	13277
772	45008	13217
773	45067	13159
774	45119	13099
775	45172	13039
776	45229	12980
777	45280	12920
778	45340	12863
779	45392	12802
780	45444	12743
781	45496	12683
782	45547	12623
783	45596	12562
784	45650	12502
785	45701	12443
786	45755	12383
787	45813	12325
788	45867	12266
789	45925	12208
790	45989	12151
791	46044	12092
792	46090	12031
793	46145	11972
794	46205	11914
795	46259	11855
796	46309	11795
797	46372	11738
798	46425	11678
799	46483	11620
800	46541	11562
801	46598	11504
802	46657	11446
803	46702	11385
804	46756	11326
805	46806	11266
806	46863	11207
807	46921	11149
808	46969	11089
809	47020	11029
810	47082	10972
811	47137	10913
812	47187	10853
813	47240	10794
814	47294	10735
815	47355	10678
816	47405	10618
817	47457	10558
818	47511	10500
819	47571	10442
820	47624	10383
821	47680	10324
822	47732	10265
823	47791	10207
824	47843	10148
825	47903	10090
826	47968	10034
827	48027	9976
828	48075	9916
829	48130	9858
830	48180	9798
831	48229	9738
832	48287	9680
833	48342	9622
834	48391	9562
835	48440	9502
836	48503	9445
837	48552	9386
838	48603	9326
839	48667	9269
840	48715	9210
841	48764	9150
842	48815	9091
843	48871	9033
844	48922	8973
845	48970	8914
846	49021	8855
847	49082	8797
848	49133	8738
849	49179	8678
850	49236	8620
851	49288	8561
852	49341	8503
853	49393	8444
854	49451	8386
855	49503	8327
856	49558	8269
857	49613	8211
858	49668	8152
859	49724	8094
860	49780	8036
861	49843	7979
862	49894	7920
863	49939	7860
864	49999	7803
865	50050	7744
866	50103	7685
867	50154	7627
868	50216	7570
869	50269	7511
870	50324	7453
871	50384	7395
872	50436	7337
873	50491	7279
874	50545	7220
875	50596	7162
876	50653	7104
877	50709	7046
878	50760	6987
879	50821	6930
880	50870	6871
881	50921	6812
882	50981	6755
883	51030	6696
884	51081	6637
885	51139	6580
886	51193	6521
887	51248	6463
888	51304	6405
889	51363	6348
890	51409	6289
891	51464	6231
892	51516	6172
893	51568	6114
894	51677	6062
895	51727	6004
896	51778	5945
897	51836	5887
898	51892	5829
899	51958	5773
900	52014	5715
901	52056	5655
902	52115	5598
903	52172	5540
904	52220	5481
905	52270	5423
906	52324	5365
907	52381	5307
908	52436	5249
909	52489	5191
910	52554	5134
911	52606	5076
912	52656	5017
913	52715	4960
914	52763	4901
915	52831	4844
916	52884	4786
917	52929	4727
918	52988	4670
919	53040	4612
920	53090	4553
921	53148	4496
922	53200	4438
923	53256	4380
924	53305	4322
925	53363	4264
926	53414	4206
927	53471	4148
928	53521	4090
929	53583	4033
930	53642	3975
931	53690	3917
932	53746	3859
933	53800	3801
934	53854	3743
935	53908	3686
936	53955	3627
937	54008	3569
938	54060	3511
939	54112	3453
940	54168	3396
941	54222	3338
942	54274	3280
943	54326	3222
944	54378	3164
945	54433	3107
946	54488	3049
947	54542	2991
948	54589	2933
949	54642	2875
950	54709	2818
951	54762	2761
952	54820	2703
953	54874	2645
954	54925	2588
955	54984	2530
956	55047	2473
957	55102	2415
958	55160	2358
959	55217	2300
960	55274	2243
961	55327	2185
962	55385	2127
963	55436	2070
964	55482	2012
965	55546	1955
966	55607	1897
967	55655	1839
968	55708	1782
969	55765	1724
970	55821	1667
971	55885	1609
972	55945	1552
973	56003	1494
974	56045	1437
975	56093	1379
976	56150	1321
977	56206	1264
978	56256	1206
979	56311	1149
980	56361	1091
981	56424	1034
982	56476	976
983	56525	919
984	56579	861
985	56631	804
986	56693	746
987	56754	689
988	56808	631
989	56860	574
990	56913	516
991	56969	459
992	57022	401
993	57074	344
994	57126	287
995	57175	229
996	57225	172
997	57281	114
998	57337	57
999	57392	0
